"id","menu_id","role_id","create_user","create_date","update_user","update_date" 
"65","35","1","API","2016/03/17 22:52:04","",null
"66","36","1","API","2016/03/17 22:52:04","",null
"67","37","1","API","2016/03/17 22:52:04","",null
"68","38","1","API","2016/03/17 22:52:04","",null
"69","39","1","API","2016/03/17 22:52:04","",null
"70","40","1","API","2016/03/17 22:52:04","",null
"71","41","1","API","2016/03/17 22:52:04","",null
"72","42","1","API","2016/03/17 22:52:04","",null
"73","43","1","API","2016/03/17 22:52:04","",null
"74","44","1","API","2016/03/17 22:52:04","",null
"75","45","1","API","2016/03/17 22:52:04","",null
