"id","menu_id","role_id","create_user","create_date","update_user","update_date" 
"1","1","1","API","2015/12/29 22:52:04","",null
"2","2","1","API","2015/12/30 17:54:28","",null
"3","3","1","API","2015/12/30 17:54:40","",null
"4","4","1","API","2015/12/30 17:54:51","",null
"5","5","1","API","2015/12/30 17:55:02","",null
"6","6","1","API","2015/12/30 17:55:12","",null
"7","7","1","API","2015/12/30 21:44:30","",null
"8","8","1","API","2015/12/30 21:44:36","",null
"9","9","1","API","2015/12/30 21:44:57","",null
"10","10","1","API","2015/12/29 22:52:04","",null
"11","11","1","API","2015/12/29 22:52:04","",null
"12","12","1","API","2015/12/29 22:52:04","",null
"13","13","1","API","2015/12/29 22:52:04","",null
"14","14","1","API","2015/12/29 22:52:04","",null
"15","15","1","API","2015/12/29 22:52:04","",null
"16","16","1","API","2015/12/29 22:52:04","",null
"17","17","1","API","2015/12/29 22:52:04","",null
"18","18","1","API","2015/12/29 22:52:04","",null
"19","19","1","API","2015/12/29 22:52:04","",null
"20","20","1","API","2015/12/29 22:52:04","",null
"21","21","1","API","2015/12/29 22:52:04","",null
"22","22","1","API","2015/12/29 22:52:04","",null
"23","23","1","API","2015/12/29 22:52:04","",null
"24","24","1","API","2015/12/29 22:52:04","",null
"25","25","1","API","2015/12/29 22:52:04","",null
"26","26","1","API","2015/12/29 22:52:04","",null
"27","27","1","API","2015/12/29 22:52:04","",null
"28","28","1","API","2015/12/29 22:52:04","",null
"29","29","1","API","2015/12/29 22:52:04","",null
"30","30","1","API","2015/12/29 22:52:04","",null
